255,242,39,yellow
255,215,12,yellow
252,234,4,yellow
254,242,0,yellow
247,224,23,yellow
255,183,9,yellow
255,255,0,yellow
255,166,0,yellow
249,217,94,yellow
246,191,39,yellow
253,251,251,white
248,249,254,white
249,255,241,white
250,240,230,white
255,237,231,white
243,239,227,white
229,224,221,white
242,233,228,white
238,228,220,white
242,233,228,white
47,47,47,black
28,29,33,black
10,18,13,black
0,0,0,black
9,0,0,black
27,32,35,black
49,54,57,black
28,28,28,black
37,37,37,black
40,39,45,black
36,29,33,black
